,,goals,goals,goals,goals,goals,assists,assists,assists,assists,assists,gca,gca,gca,gca,gca,passes,passes,passes,passes,passes,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,tackles,tackles,tackles,tackles,tackles
,,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max
Amiens,FW,1.0,1.0,2.0,4.0,7.0,1.0,1.75,2.5,3.25,4.0,1.0,3.25,6.0,8.5,10.0,322.0,455.5,794.5,1096.75,1120.0,44.4,64.875,75.7,82.05000000000001,89.1,17.0,20.0,30.5,43.5,54.0
Amiens,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,1970.0,1970.0,1970.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amiens,MF,1.0,1.0,1.0,1.75,4.0,0.0,0.75,1.5,2.0,2.0,1.0,2.5,3.0,4.25,8.0,393.0,591.75,1270.5,1904.25,1968.0,41.9,79.54999999999998,97.85,104.475,107.1,24.0,28.5,52.0,88.0,130.0
Angers SCO,DF,0.0,1.0,2.0,7.0,9.0,1.0,2.0,4.0,5.0,9.0,3.0,4.0,6.0,6.0,15.0,1077.0,1777.0,2448.0,4693.0,5536.0,53.8,145.1,197.2,211.8,253.1,48.0,91.0,98.0,166.0,196.0
Angers SCO,FW,2.0,9.0,10.0,11.75,23.0,0.0,1.25,2.5,3.75,8.0,3.0,5.0,5.5,9.75,30.0,275.0,815.5,856.5,1061.75,2079.0,49.3,67.8,85.1,105.85000000000001,158.3,19.0,26.75,43.5,54.25,102.0
Angers SCO,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,1667.0,2032.0,2397.0,2762.0,3127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0
Angers SCO,MF,0.0,0.0,5.0,10.5,15.0,0.0,1.5,4.0,7.0,8.0,0.0,5.0,10.0,17.5,23.0,545.0,1291.5,1836.0,3134.0,5493.0,70.1,149.75,165.8,204.5,248.3,31.0,51.0,78.0,108.0,185.0
Arsenal,DF,0.0,0.25,2.0,3.0,6.0,0.0,0.25,2.5,4.5,8.0,0.0,3.0,5.0,10.75,12.0,769.0,2449.5,2676.5,3071.75,5297.0,117.8,141.54999999999998,207.9,240.975,285.4,23.0,63.75,84.0,101.5,111.0
Arsenal,FW,5.0,9.25,25.0,37.75,58.0,0.0,3.75,14.0,17.5,19.0,2.0,11.0,33.0,38.5,57.0,272.0,904.0,2279.5,2891.5,3801.0,0.0,64.025,100.2,136.45000000000002,159.8,18.0,42.5,89.0,94.25,98.0
Arsenal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1169.0,1983.0,2797.0,3066.5,3336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,MF,1.0,3.75,6.5,9.0,9.0,1.0,3.25,5.5,6.75,12.0,1.0,9.0,14.0,21.25,25.0,464.0,1563.5,2474.0,3453.75,6836.0,71.4,84.375,111.1,197.15000000000003,298.8,27.0,32.75,69.5,121.0,212.0
Aston Villa,DF,0.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,2.0,5.0,16.0,524.0,1116.0,1872.0,2585.0,4739.0,38.5,121.5,132.2,214.0,253.8,21.0,25.0,43.0,73.0,208.0
Aston Villa,FW,1.0,5.0,8.0,19.0,44.0,0.0,2.0,6.0,11.0,14.0,0.0,4.0,13.0,23.0,35.0,179.0,773.0,1336.0,1912.0,4231.0,30.4,77.0,88.7,130.4,260.6,9.0,36.0,64.0,112.0,123.0
Aston Villa,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,1201.0,1427.0,1653.0,1879.0,2105.0,0.0,25.0,50.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,MF,0.0,2.75,4.5,9.75,15.0,0.0,0.75,6.5,10.0,11.0,1.0,1.0,10.5,18.5,30.0,326.0,789.0,1914.5,2766.25,3904.0,59.9,109.32500000000002,146.15,177.79999999999998,261.4,15.0,27.0,95.5,163.5,177.0
Atalanta,DF,0.0,1.5,4.0,5.75,23.0,0.0,3.25,5.5,9.25,15.0,1.0,7.25,11.0,16.5,28.0,830.0,1960.25,3253.5,4798.5,5200.0,75.3,165.97500000000002,249.55,271.90000000000003,313.3,33.0,63.0,109.5,175.5,269.0
Atalanta,FW,20.0,32.0,42.5,53.0,65.0,13.0,15.25,20.0,24.5,26.0,30.0,37.5,46.5,57.75,72.0,1925.0,2336.0,2569.0,2930.25,3726.0,36.4,112.525,139.9,160.32500000000002,215.6,31.0,50.5,57.5,59.75,65.0
Atalanta,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1774.0,1998.0,2222.0,2903.5,3585.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.5,1.0
Atalanta,MF,6.0,6.75,8.0,13.5,27.0,3.0,7.5,10.0,12.0,15.0,14.0,23.75,28.0,30.0,33.0,2830.0,3454.75,5272.5,6945.75,7137.0,156.1,179.35,195.2,209.70000000000002,228.9,79.0,111.25,193.0,272.0,296.0
Athletic Club de Bilbao,DF,0.0,0.75,2.0,4.25,5.0,0.0,1.0,2.0,5.0,6.0,1.0,3.0,6.0,9.25,13.0,1774.0,2480.0,3208.0,4298.75,5048.0,168.1,193.35,226.25,245.95,264.3,67.0,76.25,118.0,139.75,150.0
Athletic Club de Bilbao,FW,1.0,3.0,7.0,29.0,33.0,2.0,2.0,6.0,7.0,12.0,3.0,5.0,11.0,20.0,31.0,462.0,651.0,783.0,2352.0,4277.0,34.6,101.6,166.0,174.9,585.7,10.0,15.0,31.0,64.0,250.0
Athletic Club de Bilbao,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1159.0,1559.0,1959.0,2359.0,2759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athletic Club de Bilbao,MF,0.0,0.0,1.0,3.0,19.0,0.0,2.0,3.0,5.0,13.0,2.0,2.0,5.0,10.0,37.0,552.0,1342.0,1690.0,2904.0,4516.0,86.6,113.7,144.4,173.1,255.7,12.0,48.0,59.0,128.0,188.0
Atlético de Madrid,DF,0.0,1.0,2.0,4.75,12.0,0.0,2.0,2.5,4.0,16.0,1.0,4.25,5.5,10.0,30.0,1286.0,1972.0,2971.0,4573.25,5733.0,78.3,155.95,243.85000000000002,274.29999999999995,300.8,50.0,70.75,101.5,127.5,263.0
Atlético de Madrid,FW,9.0,14.0,21.0,40.0,65.0,6.0,7.0,18.0,20.0,20.0,10.0,18.0,42.0,43.0,57.0,750.0,1397.0,2581.0,2648.0,4483.0,108.4,110.5,113.6,166.9,252.3,16.0,20.0,38.0,113.0,133.0
Atlético de Madrid,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3253.0,3253.0,3253.0,3253.0,3253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético de Madrid,MF,0.0,3.0,7.0,13.25,25.0,2.0,4.5,10.5,14.25,25.0,6.0,10.0,23.0,24.75,53.0,1668.0,2708.75,2811.5,5507.75,7210.0,100.0,166.32500000000002,173.60000000000002,190.47499999999997,262.4,59.0,105.5,167.5,187.5,257.0
Bayer 04 Leverkusen,DF,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,4.0,7.0,0.0,1.0,4.0,8.0,13.0,673.0,1926.0,2725.0,4314.0,7423.0,66.7,118.2,150.1,182.8,290.6,20.0,59.0,69.0,110.0,194.0
Bayer 04 Leverkusen,FW,10.0,14.5,21.5,29.75,38.0,4.0,5.5,8.0,14.5,28.0,10.0,15.25,19.0,26.75,44.0,1053.0,1207.5,1493.0,1952.0,2627.0,62.6,118.32500000000002,143.85000000000002,162.22500000000002,196.5,32.0,32.0,38.0,46.0,52.0
Bayer 04 Leverkusen,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,5052.0,5052.0,5052.0,5052.0,5052.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Bayer 04 Leverkusen,MF,0.0,4.0,7.0,9.0,11.0,1.0,4.0,9.0,12.0,18.0,5.0,12.5,16.0,26.0,34.0,1048.0,2310.0,3030.0,3944.0,4901.0,37.0,121.35000000000001,169.8,180.65,190.4,51.0,61.5,144.0,161.5,170.0
Benevento,DF,0.0,0.25,1.5,2.75,4.0,0.0,0.25,1.0,1.0,2.0,0.0,0.25,1.5,3.5,4.0,458.0,775.5,836.5,2406.5,3951.0,43.1,63.675000000000004,67.85,156.92499999999998,195.2,18.0,27.25,46.5,74.0,128.0
Benevento,FW,20.0,20.0,20.0,20.0,20.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,896.0,896.0,896.0,896.0,896.0,106.0,106.0,106.0,106.0,106.0,53.0,53.0,53.0,53.0,53.0
