,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
585,Amadou Diawara\bf309d24,gn GUI,MF,Roma,it Serie A,24-154,1997,4,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.03,0.03,0.01,0.03,Matches
586,Brahim Díaz\407feb71,es ESP,MF,Milan,it Serie A,22-137,1999,13,12,884,9.8,3,3,3,0,0,2,0,0.31,0.31,0.61,0.31,0.61,4.0,4.0,1.3,5.4,0.41,0.14,0.55,0.41,0.55,Matches
587,Víctor Díaz\3624ce4c,es ESP,DF,Granada,es La Liga,33-189,1988,9,7,573,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
588,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,de Bundesliga,31-300,1990,10,2,277,3.1,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,1.0,1.0,0.8,1.8,0.32,0.25,0.57,0.32,0.57,Matches
589,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,fr Ligue 1,21-270,2000,13,7,522,5.8,4,0,4,0,0,0,0,0.69,0.00,0.69,0.69,0.69,4.2,4.2,0.0,4.2,0.72,0.00,0.72,0.72,0.72,Matches
590,Eric Dier\ac861941,eng ENG,DF,Tottenham,eng Premier League,27-337,1994,14,14,1181,13.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,1.6,0.03,0.10,0.12,0.03,0.12,Matches
591,Elhadji Dieye\6a04bb7c,sn SEN,DFMF,Saint-Étienne,fr Ligue 1,19-196,2002,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
592,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,eng Premier League,28-151,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,Matches
593,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,eng Premier League,30-163,1991,16,16,1440,16.0,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,1.4,1.4,0.1,1.4,0.09,0.01,0.09,0.09,0.09,Matches
594,Mitchell Dijks\0a3065c8,nl NED,DF,Bologna,it Serie A,28-312,1993,5,1,145,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
595,Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Bordeaux,fr Ligue 1,23-179,1998,14,9,738,8.2,0,3,0,0,0,2,0,0.00,0.37,0.37,0.00,0.37,1.0,1.0,1.5,2.5,0.13,0.18,0.31,0.13,0.31,Matches
596,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,de Bundesliga,23-179,1998,2,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
597,Federico Dimarco\970b8574,it ITA,DF,Inter,it Serie A,24-038,1997,17,6,738,8.2,2,2,2,0,1,0,0,0.24,0.24,0.49,0.24,0.49,2.4,1.6,2.8,4.4,0.29,0.34,0.63,0.19,0.54,Matches
598,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,es La Liga,24-108,1997,12,3,373,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.18,0.05,0.23,0.18,0.23,Matches
599,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,27-358,1993,17,16,1512,16.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
600,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,fr Ligue 1,21-027,2000,7,3,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06,Matches
601,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,fr Ligue 1,30-304,1991,11,6,496,5.5,2,4,2,0,0,2,0,0.36,0.73,1.09,0.36,1.09,0.5,0.5,1.7,2.2,0.09,0.31,0.39,0.09,0.39,Matches
602,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,fr Ligue 1,20-253,2001,10,5,578,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
603,Issa Diop\a712ca2b,fr FRA,DF,West Ham,eng Premier League,24-343,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
604,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,fr Ligue 1,21-192,2000,17,14,1119,12.4,5,1,5,0,0,4,0,0.40,0.08,0.48,0.40,0.48,3.3,3.3,1.6,4.8,0.26,0.13,0.39,0.26,0.39,Matches
605,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,fr Ligue 1,19-215,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
606,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,fr Ligue 1,24-089,1997,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
607,Axel Disasi\ad82197c,fr FRA,DF,Monaco,fr Ligue 1,23-282,1998,15,13,1205,13.4,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.1,1.4,0.09,0.01,0.10,0.09,0.10,Matches
608,Filippo Distefano\2110f96c,it ITA,FW,Fiorentina,it Serie A,18-112,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
609,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34-224,1987,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
610,Tiago Djaló\b2336681,pt POR,DF,Lille,fr Ligue 1,21-253,2000,13,12,1109,12.3,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,0.2,1.0,0.07,0.02,0.09,0.07,0.09,Matches
611,Djené\a4971d84,tg TOG,DF,Getafe,es La Liga,29-352,1991,16,16,1405,15.6,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
612,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,eng Premier League,23-186,1998,8,5,430,4.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7,0.31,0.05,0.36,0.31,0.36,Matches
613,Koffi Djidji\933d3b51,ci CIV,DF,Torino,it Serie A,29-018,1992,12,12,947,10.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
614,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,fr Ligue 1,27-131,1994,16,16,1397,15.5,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,1.8,0.09,0.02,0.11,0.09,0.11,Matches
615,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19-209,2002,2,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
616,Berat Djimsiti\6eee05f1,al ALB,DF,Atalanta,it Serie A,28-302,1993,12,9,891,9.9,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06,Matches
617,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23-240,1998,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
618,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29-328,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
619,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,eng Premier League,18-349,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
620,Matt Doherty\d557d734,ie IRL,DF,Tottenham,eng Premier League,29-336,1992,3,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
621,Jeremy Doku\fffea3e5,be BEL,FWMF,Rennes,fr Ligue 1,19-205,2002,6,2,203,2.3,1,0,1,0,0,1,0,0.44,0.00,0.44,0.44,0.44,0.7,0.7,0.2,0.9,0.31,0.08,0.39,0.31,0.39,Matches
622,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,fr Ligue 1,24-073,1997,13,9,729,8.1,4,1,3,1,1,0,0,0.49,0.12,0.62,0.37,0.49,3.7,3.0,0.3,3.2,0.46,0.03,0.49,0.36,0.40,Matches
623,Brandon Domingues\2a00c6c0,fr FRA,FWMF,Troyes,fr Ligue 1,21-195,2000,8,0,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.42,0.21,0.63,0.42,0.63,Matches
624,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,es La Liga,20-351,2001,2,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
625,Nicolás Domínguez\20b3a502,ar ARG,MF,Bologna,it Serie A,23-173,1998,16,16,1324,14.7,0,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.8,0.8,1.2,1.9,0.05,0.08,0.13,0.05,0.13,Matches
626,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,fr Ligue 1,25-111,1996,8,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.27,0.08,0.35,0.27,0.35,Matches
627,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22-296,1999,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
628,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,de Bundesliga,23-337,1998,13,11,1008,11.2,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
629,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,eng Premier League,23-364,1997,14,14,1238,13.8,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,0.3,1.2,0.06,0.03,0.09,0.06,0.09,Matches
630,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,fr Ligue 1,29-276,1992,18,13,1126,12.5,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,3.3,3.3,2.1,5.4,0.26,0.17,0.43,0.26,0.43,Matches
631,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,fr Ligue 1,18-135,2003,13,6,625,6.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches
632,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,eng Premier League,28-351,1993,13,13,1170,13.0,2,4,2,0,0,4,0,0.15,0.31,0.46,0.15,0.46,1.8,1.8,1.2,3.0,0.14,0.09,0.23,0.14,0.23,Matches
633,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,fr Ligue 1,21-344,2000,15,15,1314,14.6,0,3,0,0,0,3,1,0.00,0.21,0.21,0.00,0.21,0.9,0.9,1.4,2.3,0.07,0.09,0.16,0.07,0.16,Matches
634,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,fr Ligue 1,20-318,2001,3,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
635,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,fr Ligue 1,25-085,1996,12,12,947,10.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches
636,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,eng Premier League,24-069,1997,7,3,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.04,0.21,0.25,0.04,0.25,Matches
637,Bartłomiej Drągowski\085e71a7,pl POL,GKDF,Fiorentina,it Serie A,24-121,1997,5,5,376,4.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
638,Radu Drăgușin\620922ed,ro ROU,DF,Sampdoria,it Serie A,19-318,2002,9,2,370,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
639,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,eng Premier League,20-010,2001,2,0,38,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
640,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,fr Ligue 1,28-089,1993,10,4,371,4.1,2,1,2,0,0,0,0,0.49,0.24,0.73,0.49,0.73,1.4,1.4,0.9,2.3,0.33,0.23,0.55,0.33,0.55,Matches
641,Domingos Duarte\93090f69,pt POR,DF,Granada,es La Liga,26-283,1995,7,7,616,6.8,1,0,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
642,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,es La Liga,32-198,1989,8,7,634,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches
643,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,es La Liga,26-061,1995,14,14,1195,13.3,0,1,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.6,0.9,0.03,0.04,0.07,0.03,0.07,Matches
644,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,fr Ligue 1,27-095,1994,12,10,920,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,Matches
645,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,32-337,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
646,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,de Bundesliga,27-013,1994,16,12,1016,11.3,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,2.6,2.6,1.1,3.7,0.23,0.10,0.33,0.23,0.33,Matches
647,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,de Bundesliga,26-112,1995,11,7,577,6.4,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,1.1,2.4,0.21,0.17,0.38,0.21,0.38,Matches
648,Shane Duffy\7314bba4,ie IRL,DF,Brighton,eng Premier League,29-351,1992,13,12,1135,12.6,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.1,0.9,0.07,0.01,0.08,0.07,0.08,Matches
649,Denzel Dumfries\481c9ece,nl NED,DF,Inter,it Serie A,25-244,1996,15,7,744,8.3,2,2,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,2.2,2.2,1.6,3.8,0.27,0.20,0.47,0.27,0.47,Matches
650,Alfred Duncan\528492ea,gh GHA,MF,Fiorentina,it Serie A,28-283,1993,15,10,880,9.8,1,2,1,0,0,1,0,0.10,0.20,0.31,0.10,0.31,0.9,0.9,1.1,1.9,0.09,0.11,0.20,0.09,0.20,Matches
651,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,eng Premier League,30-027,1991,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
652,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,de Bundesliga,29-220,1992,7,7,474,5.3,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.0,0.0,0.6,0.6,0.00,0.12,0.12,0.00,0.12,Matches
653,Hugo Duro\37e103f8,es ESP,DFMF,Getafe,es La Liga,22-038,1999,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.84,0.00,0.84,0.84,0.84,Matches
654,Hugo Duro\37e103f8,es ESP,MFFW,Valencia,es La Liga,22-038,1999,14,11,891,9.9,5,0,5,0,0,0,0,0.51,0.00,0.51,0.51,0.51,2.4,2.4,0.5,2.9,0.24,0.05,0.29,0.24,0.29,Matches
655,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,fr Ligue 1,24-159,1997,18,14,1327,14.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.4,1.5,0.01,0.09,0.10,0.01,0.10,Matches
656,Paulo Dybala\e0921a4f,ar ARG,FWMF,Juventus,it Serie A,28-033,1993,13,12,942,10.5,5,3,4,1,2,1,0,0.48,0.29,0.76,0.38,0.67,4.7,3.2,2.4,5.6,0.45,0.23,0.68,0.31,0.54,Matches
657,Edin Džeko\3bb7f478,ba BIH,FW,Inter,it Serie A,35-276,1986,17,12,1148,12.8,8,2,8,0,0,2,0,0.63,0.16,0.78,0.63,0.78,5.6,5.6,2.2,7.8,0.44,0.17,0.61,0.44,0.61,Matches
658,Enzo Ebosse\9ba7b4fa,fr FRA,DF,Angers,fr Ligue 1,22-282,1999,11,6,544,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches
659,Tyronne Ebuehi\6af30900,ng NGA,DF,Venezia,it Serie A,26-002,1995,10,6,559,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches
660,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,28-123,1993,16,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
661,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,eng Premier League,23-336,1998,14,9,788,8.8,3,1,3,0,0,0,0,0.34,0.11,0.46,0.34,0.46,3.0,3.0,1.2,4.1,0.34,0.13,0.47,0.34,0.47,Matches
662,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,de Bundesliga,25-010,1996,15,12,964,10.7,1,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,0.4,0.4,0.9,1.3,0.04,0.09,0.12,0.04,0.12,Matches
663,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,de Bundesliga,26-207,1995,8,2,283,3.1,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.2,0.2,0.6,0.8,0.07,0.19,0.26,0.07,0.26,Matches
664,Albin Ekdal\f503ea63,se SWE,MF,Sampdoria,it Serie A,32-143,1989,13,9,813,9.0,1,0,1,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.1,0.6,0.06,0.01,0.07,0.06,0.07,Matches
665,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,fr Ligue 1,19-181,2002,16,10,835,9.3,7,2,6,1,1,1,1,0.75,0.22,0.97,0.65,0.86,4.4,3.7,1.4,5.1,0.48,0.15,0.63,0.40,0.55,Matches
666,Jurgen Ekkelenkamp\73d6a176,nl NED,FWMF,Hertha BSC,de Bundesliga,21-257,2000,11,2,352,3.9,2,0,2,0,0,0,0,0.51,0.00,0.51,0.51,0.51,1.3,1.3,0.2,1.5,0.33,0.05,0.38,0.33,0.38,Matches
667,Caleb Ekuban\7afbd2c3,gh GHA,FWMF,Genoa,it Serie A,27-270,1994,14,8,781,8.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.6,1.9,0.15,0.06,0.21,0.15,0.21,Matches
668,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,eng Premier League,19-235,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
669,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,fr Ligue 1,25-309,1996,10,8,746,8.3,5,0,5,0,0,2,0,0.60,0.00,0.60,0.60,0.60,2.9,2.9,1.1,4.0,0.35,0.14,0.49,0.35,0.49,Matches
670,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,eng Premier League,18-258,2003,4,3,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.25,0.11,0.36,0.25,0.36,Matches
671,Elif Elmas\cf007308,mk MKD,MFFW,Napoli,it Serie A,22-085,1999,17,6,798,8.9,1,1,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,0.5,0.5,0.5,1.0,0.05,0.06,0.11,0.05,0.11,Matches
672,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,eng Premier League,29-160,1992,5,1,153,1.7,0,1,0,0,0,0,0,0.00,0.59,0.59,0.00,0.59,0.0,0.0,0.2,0.2,0.01,0.09,0.10,0.01,0.10,Matches
673,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,es La Liga,27-265,1994,15,14,1236,13.7,3,1,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,0.9,0.9,0.1,1.0,0.07,0.01,0.07,0.07,0.07,Matches
674,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,de Bundesliga,25-079,1996,14,14,1197,13.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.8,0.06,0.00,0.06,0.06,0.06,Matches
675,Sepe Elye Wahi\0d7b6576,fr FRA,FWMF,Montpellier,fr Ligue 1,18-350,2003,16,7,619,6.9,4,0,4,0,0,1,0,0.58,0.00,0.58,0.58,0.58,1.8,1.8,0.8,2.6,0.27,0.12,0.38,0.27,0.38,Matches
676,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,eng Premier League,27-136,1994,13,9,816,9.1,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,2.5,2.5,0.6,3.2,0.28,0.07,0.35,0.28,0.35,Matches
677,Adri Embarba\db8f0eba,es ESP,MFFW,Espanyol,es La Liga,29-225,1992,17,17,1355,15.1,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,2.1,2.1,2.1,4.2,0.14,0.14,0.28,0.14,0.28,Matches
678,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,de Bundesliga,24-307,1997,11,8,746,8.3,1,2,1,0,0,2,0,0.12,0.24,0.36,0.12,0.36,2.5,2.5,2.3,4.7,0.30,0.28,0.57,0.30,0.57,Matches
679,Emerson\df8b52a5,br BRA,DF,Barcelona,es La Liga,22-338,1999,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
680,Emerson\df8b52a5,br BRA,DF,Tottenham,eng Premier League,22-338,1999,10,9,847,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches
681,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,fr Ligue 1,30-013,1991,4,2,175,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
682,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,es La Liga,24-200,1997,7,5,450,5.0,3,1,2,1,1,0,0,0.60,0.20,0.80,0.40,0.60,2.9,2.1,1.1,3.3,0.57,0.23,0.80,0.42,0.65,Matches
683,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,de Bundesliga,24-026,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
684,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,de Bundesliga,28-312,1993,16,16,1421,15.8,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.3,1.1,0.5,1.6,0.08,0.03,0.11,0.07,0.10,Matches
685,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,it Serie A,23-328,1998,10,10,832,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.03,0.03,0.06,0.03,0.06,Matches
686,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Lazio,it Serie A,28-266,1993,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
687,Aarón Escandell\67669ce7,es ESP,GK,Granada,es La Liga,26-082,1995,4,3,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
688,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,es La Liga,32-107,1989,12,4,404,4.5,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,0.7,1.1,0.10,0.15,0.26,0.10,0.26,Matches
