,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
241,Valon Berisha\d5575935,xk KVX,MFFW,Reims,fr Ligue 1,28-314,1993,11,3,342,3.8,0,1,0,0,0,2,1,0.00,0.26,0.26,0.00,0.26,0.0,0.0,0.4,0.4,0.01,0.10,0.11,0.01,0.11,Matches
242,Federico Bernardeschi\ee93c1a9,it ITA,MFFW,Juventus,it Serie A,27-305,1994,13,9,742,8.2,0,2,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,0.8,1.8,0.12,0.09,0.22,0.12,0.22,Matches
243,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,fr Ligue 1,24-244,1997,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
244,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,fr Ligue 1,28-292,1993,7,6,462,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.09,0.09,0.00,0.09,Matches
245,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,23-195,1998,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
246,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,fr Ligue 1,31-346,1990,16,14,1047,11.6,1,3,1,0,0,0,0,0.09,0.26,0.34,0.09,0.34,1.5,1.5,2.5,4.0,0.13,0.22,0.34,0.13,0.34,Matches
247,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,eng Premier League,32-135,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches
248,Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,it Serie A,28-338,1993,9,2,272,3.0,1,0,1,0,0,2,1,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.2,0.4,0.07,0.07,0.14,0.07,0.14,Matches
249,Beto\ed5c0319,gw GNB,FW,Udinese,it Serie A,23-321,1998,15,12,1161,12.9,7,0,7,0,0,1,0,0.54,0.00,0.54,0.54,0.54,6.4,6.4,0.8,7.2,0.50,0.06,0.56,0.50,0.56,Matches
250,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,de Bundesliga,21-213,2000,6,6,540,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.07,0.01,0.08,0.07,0.08,Matches
251,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,fr Ligue 1,21-262,2000,16,13,1151,12.8,0,2,0,0,0,5,0,0.00,0.16,0.16,0.00,0.16,1.3,1.3,0.8,2.0,0.10,0.06,0.16,0.10,0.16,Matches
252,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,eng Premier League,20-296,2001,3,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
253,Pedro Bigas\697295b1,es ESP,DF,Elche,es La Liga,31-094,1990,9,9,727,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
254,El Bilal Touré\47c609d5,ml MLI,FW,Reims,fr Ligue 1,20-076,2001,13,9,755,8.4,1,2,0,1,1,2,0,0.12,0.24,0.36,0.00,0.24,3.1,2.4,0.7,3.1,0.37,0.08,0.46,0.28,0.37,Matches
255,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,fr Ligue 1,27-355,1993,7,4,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
256,Luis Binks\36e88fbc,eng ENG,DFMF,Bologna,it Serie A,20-107,2001,6,1,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
