,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
109,Armando Cooper\c3835594,MF,pa Panama,30,1987,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.05,0.06,0.02,0.06,Matches
110,Vedran Ćorluka\6ceef869,DF,hr Croatia,32,1986,4,1,121,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
111,Andreas Cornelius\c693347d,FW,dk Denmark,25,1993,3,2,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.02,0.06,0.03,0.06,Matches
112,Jesús Corona\fb938d24,FW,mx Mexico,25,1993,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.42,0.42,0.00,0.42,Matches
113,Diego Costa\a190d597,FW,es Spain,29,1988,4,4,316,3.5,3,0,3,0,0,0,0,0.85,0.00,0.85,0.85,0.85,2.4,2.4,0.3,2.7,0.68,0.08,0.76,0.68,0.76,Matches
114,Douglas Costa\4fa7cb9b,FW,br Brazil,27,1990,2,0,78,0.9,0,1,0,0,0,0,0,0.00,1.15,1.15,0.00,1.15,0.1,0.1,1.0,1.0,0.10,1.10,1.20,0.10,1.20,Matches
115,Manuel da Costa\50e14b3c,DF,ma Morocco,32,1986,3,2,189,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
116,Thibaut Courtois\1840e36d,GK,be Belgium,26,1992,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
117,Philippe Coutinho\0ef89a37,MFFW,br Brazil,26,1992,5,5,434,4.8,2,2,2,0,0,1,0,0.41,0.41,0.83,0.41,0.83,1.7,1.7,1.2,2.9,0.35,0.25,0.60,0.35,0.60,Matches
118,Juan Cuadrado\0ab1f153,FW,co Colombia,30,1988,4,4,330,3.7,1,1,1,0,0,1,0,0.27,0.27,0.55,0.27,0.55,0.4,0.4,0.3,0.7,0.10,0.10,0.20,0.10,0.20,Matches
119,Christian Cueva\57376761,MFFW,pe Peru,26,1991,3,3,270,3.0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.1,0.4,0.4,0.27,0.12,0.39,0.02,0.14,Matches
120,Harold Cummings\d3aa261b,DF,pa Panama,26,1992,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
121,Henrik Dalsgaard\563cbac0,DF,dk Denmark,28,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.06,0.08,0.01,0.08,Matches
122,Danilo\94b2001f,DF,br Brazil,26,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
123,Erick Davis\2ffb0739,DF,pa Panama,27,1991,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
124,Salem Al-Dawsari\60ee859c,MFFW,sa Saudi Arabia,26,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.2,0.5,0.08,0.07,0.15,0.08,0.15,Matches
125,Jón Daði Böðvarsson\b62006f1,FW,is Iceland,26,1992,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
126,Giorgian De Arrascaeta\be8d02dd,FWMF,uy Uruguay,24,1994,2,1,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.40,0.36,0.76,0.40,0.76,Matches
127,Kevin De Bruyne\e46012d4,MFFW,be Belgium,26,1991,6,6,540,6.0,1,2,1,0,0,1,0,0.17,0.33,0.50,0.17,0.50,0.6,0.6,2.2,2.8,0.10,0.36,0.47,0.10,0.47,Matches
128,Thomas Delaney\fe641c1a,MF,dk Denmark,26,1991,4,4,366,4.1,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.1,0.3,0.05,0.04,0.08,0.05,0.08,Matches
129,Fabian Delph\111c3236,MFDF,eng England,28,1989,4,2,222,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches
130,Mousa Dembélé\f7ee69fb,MF,be Belgium,30,1987,4,2,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
131,Ousmane Dembélé\b19db005,FW,fr France,21,1997,4,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.04,0.09,0.05,0.09,Matches
132,Leander Dendoncker\5a7301ae,DF,be Belgium,23,1995,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
133,Ángel Di María\19cda00b,FWMF,ar Argentina,30,1988,3,3,235,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.4,0.4,0.1,0.5,0.14,0.04,0.18,0.14,0.18,Matches
134,Ismael Díaz\f2a276d1,FW,pa Panama,21,1997,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
135,Eric Dier\ac861941,MF,eng England,24,1994,6,2,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.16,0.00,0.16,0.16,0.16,Matches
136,Nabil Dirar\a2b0d521,DF,ma Morocco,32,1986,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.07,0.11,0.03,0.11,Matches
137,Johan Djourou\b8673e18,DF,ch Switzerland,31,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
138,Kasper Dolberg\cc83b74d,FW,dk Denmark,20,1997,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
139,Giovani dos Santos\7dba6233,MF,mx Mexico,29,1989,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
140,Jonathan dos Santos\91872dec,MF,mx Mexico,28,1990,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
141,Julian Draxler\1a992676,FWMF,de Germany,24,1993,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.36,0.10,0.46,0.36,0.46,Matches
142,Josip Drmić\15ea94de,FW,ch Switzerland,25,1992,3,1,113,1.3,1,0,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,0.3,0.3,0.0,0.3,0.26,0.01,0.27,0.26,0.27,Matches
143,Óscar Duarte\aa0ac32d,DF,cr Costa Rica,29,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.03,0.08,0.11,0.03,0.11,Matches
144,Jimmy Durmaz\f09a8b75,MF,se Sweden,29,1989,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.09,0.09,0.00,0.09,Matches
145,Paulo Dybala\e0921a4f,MF,ar Argentina,24,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
146,Alan Dzagoev\4c45cdc2,MF,ru Russia,27,1990,2,1,42,0.5,0,1,0,0,0,0,0,0.00,2.14,2.14,0.00,2.14,0.1,0.1,0.4,0.5,0.14,0.92,1.06,0.14,1.06,Matches
147,Blerim Džemaili\756959aa,MF,ch Switzerland,32,1986,4,4,324,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,1.4,1.4,0.1,1.5,0.38,0.04,0.42,0.38,0.42,Matches
148,Artem Dzyuba\448a3608,FW,ru Russia,29,1988,5,4,331,3.7,3,2,2,1,1,0,0,0.82,0.54,1.36,0.54,1.09,1.4,0.7,0.3,1.0,0.37,0.09,0.46,0.18,0.26,Matches
149,Omid Ebrahimi\76bfe66e,MF,ir Iran,30,1987,3,3,259,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.03,0.01,0.03,Matches
150,Tyronne Ebuehi\6af30900,MF,ng Nigeria,22,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches
151,Albin Ekdal\f503ea63,MF,se Sweden,28,1989,5,5,419,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches
152,Mohamed Elneny\47a34c4f,MF,eg Egypt,25,1992,3,3,243,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.05,0.02,0.07,0.05,0.07,Matches
153,Breel Embolo\0b4f388a,FWMF,ch Switzerland,21,1997,4,1,137,1.5,0,1,0,0,0,0,0,0.00,0.66,0.66,0.00,0.66,0.2,0.2,0.8,1.0,0.12,0.53,0.66,0.12,0.66,Matches
154,Youssef En-Nesyri\04e17fd5,FWMF,ma Morocco,21,1997,1,0,19,0.2,1,0,1,0,0,0,0,4.74,0.00,4.74,4.74,4.74,0.0,0.0,0.0,0.0,0.20,0.00,0.20,0.20,0.20,Matches
155,Christian Eriksen\980522ec,MFFW,dk Denmark,26,1992,4,4,390,4.3,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,0.8,0.8,0.7,1.5,0.19,0.15,0.35,0.19,0.35,Matches
156,Aleksandr Erokhin\1c78737d,FW,ru Russia,28,1989,2,0,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.27,0.03,0.30,0.27,0.30,Matches
157,Fidel Escobar\4991ec66,DFMF,pa Panama,23,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
158,Oghenekaro Etebo\b579e83d,MF,ng Nigeria,22,1995,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.08,0.06,0.14,0.08,0.14,Matches
159,Saeid Ezatolahi\314d95ac,MF,ir Iran,21,1996,2,2,164,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
160,Marco Fabián\e665a2db,MF,mx Mexico,28,1989,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.06,0.13,0.19,0.06,0.19,Matches
161,Łukasz Fabiański\9328b835,GK,pl Poland,33,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
162,Fagner\a9cc58fe,DF,br Brazil,29,1989,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.00,0.22,0.22,0.00,0.22,Matches
163,Fayçal Fajr\79135368,MF,ma Morocco,29,1988,2,0,33,0.4,0,1,0,0,0,0,0,0.00,2.73,2.73,0.00,2.73,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
164,Radamel Falcao\66116290,FW,co Colombia,32,1986,4,4,375,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.0,1.0,0.0,1.0,0.24,0.01,0.25,0.24,0.25,Matches
165,Salman Al-Faraj\df145034,MF,sa Saudi Arabia,28,1989,3,3,270,3.0,1,0,0,1,1,0,0,0.33,0.00,0.33,0.00,0.00,0.9,0.2,0.4,0.6,0.31,0.13,0.45,0.06,0.20,Matches
166,Jefferson Farfán\c886b062,FWMF,pe Peru,33,1984,2,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.25,0.04,0.29,0.25,0.29,Matches
167,Ahmed Fathy\c3c1b5de,DF,eg Egypt,33,1984,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
168,Federico Fazio\4e358a2d,DF,ar Argentina,31,1987,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
169,Nabil Fekir\bece776f,MFFW,fr France,24,1993,6,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,Matches
170,Marouane Fellaini\87575fd9,MFFW,be Belgium,30,1987,5,3,317,3.5,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.4,0.4,0.1,0.5,0.11,0.03,0.14,0.11,0.14,Matches
171,Bruno Fernandes\507c7bdf,MF,pt Portugal,23,1994,2,1,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
172,Manuel Fernandes\13ac19de,MF,pt Portugal,32,1986,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.81,0.64,1.44,0.81,1.44,Matches
173,Mário Fernandes\7c1a0c67,DF,ru Russia,27,1990,5,4,473,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,0.2,0.2,0.4,0.6,0.04,0.07,0.11,0.04,0.11,Matches
174,Fernandinho\101da2b5,MF,br Brazil,33,1985,5,1,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.06,0.33,0.40,0.06,0.40,Matches
175,Alfreð Finnbogason\f9e7c4ac,FW,is Iceland,29,1989,3,3,262,2.9,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,1.1,1.1,0.3,1.4,0.36,0.11,0.48,0.36,0.48,Matches
176,Roberto Firmino\4c370d81,FWMF,br Brazil,26,1991,4,0,85,0.9,1,0,1,0,0,0,0,1.06,0.00,1.06,1.06,1.06,1.5,1.5,0.0,1.5,1.57,0.03,1.61,1.57,1.61,Matches
177,Viktor Fischer\b5920350,MF,dk Denmark,24,1994,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
178,Edison Flores\ef2c82f8,MFFW,pe Peru,24,1994,3,3,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.15,0.03,0.18,0.15,0.18,Matches
179,José Fonte\90f87966,DF,pt Portugal,34,1983,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
180,Emil Forsberg\9a2e0ccc,MFFW,se Sweden,26,1991,5,5,415,4.6,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.8,0.8,0.0,0.9,0.18,0.01,0.19,0.18,0.19,Matches
181,Ari Freyr Skúlason\cce93ecd,MF,is Iceland,31,1987,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.50,0.50,0.00,0.50,Matches
182,Ali Gabr\10331f88,DF,eg Egypt,29,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
183,Jesús Gallardo\d0846b6c,DF,mx Mexico,23,1994,4,4,334,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
184,Pedro Gallese\b76e1394,GK,pe Peru,28,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
185,Cristian Gamboa\f27680d9,DF,cr Costa Rica,28,1989,3,3,253,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
186,Idrissa Gana Gueye\72c812f3,MF,sn Senegal,28,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
187,Lamine Gassama\2361ce33,DF,sn Senegal,28,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
188,Mario Gavranović\aad9c3f3,FW,ch Switzerland,28,1989,2,1,113,1.3,0,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,0.4,0.4,0.3,0.7,0.28,0.25,0.54,0.28,0.54,Matches
189,Yuri Gazinskiy\ecb68eea,MFFW,ru Russia,28,1989,4,3,267,3.0,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,0.1,0.1,0.0,0.1,0.04,0.01,0.04,0.04,0.04,Matches
190,David de Gea\7ba6d84e,GK,es Spain,27,1990,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
191,Saman Ghoddos\f7b1d4e0,MF,ir Iran,24,1993,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.22,0.00,0.22,0.22,0.22,Matches
192,Olivier Giroud\16ceb862,FW,fr France,31,1986,7,6,545,6.1,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,1.4,1.4,0.5,1.9,0.23,0.08,0.31,0.23,0.31,Matches
193,Rúrik Gíslason\2df0b7ad,MF,is Iceland,30,1988,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.02,0.05,0.03,0.05,Matches
194,Kamil Glik\c6056d58,DF,pl Poland,30,1988,2,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
195,Diego Godín\fc4f85b1,DF,uy Uruguay,32,1986,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.08,0.00,0.09,0.08,0.09,Matches
196,Aníbal Godoy\2d496ca3,MF,pa Panama,28,1990,3,3,241,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches
197,Aleksandr Golovin\3708e9fa,MFFW,ru Russia,22,1996,4,4,401,4.5,1,2,1,0,0,1,0,0.22,0.45,0.67,0.22,0.67,0.2,0.2,0.4,0.6,0.06,0.09,0.14,0.06,0.14,Matches
198,Gabriel Gómez\9692b3eb,MF,pa Panama,34,1984,3,3,248,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
199,Mario Gómez\71a20ce8,FW,de Germany,32,1985,3,0,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,1.1,1.1,0.1,1.2,1.14,0.09,1.24,1.14,1.24,Matches
200,Maxi Gómez\4c2e9442,FW,uy Uruguay,21,1996,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,1.04,1.04,0.00,1.04,Matches
201,Giancarlo González\117beb8f,DF,cr Costa Rica,30,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches
202,Jacek Góralski\83b9c48f,MF,pl Poland,25,1992,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
203,Leon Goretzka\cc86b9a3,FW,de Germany,23,1995,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.32,0.13,0.45,0.32,0.45,Matches
204,Vladimir Granat\8f04a4af,DF,ru Russia,31,1987,1,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
205,Andreas Granqvist\501992d4,DF,se Sweden,33,1985,5,5,450,5.0,2,0,0,2,2,0,0,0.40,0.00,0.40,0.00,0.00,1.7,0.2,0.1,0.3,0.34,0.02,0.36,0.04,0.06,Matches
206,Antoine Griezmann\df69b544,MFFW,fr France,27,1991,7,7,566,6.3,4,2,1,3,3,0,0,0.64,0.32,0.95,0.16,0.48,3.3,1.1,0.5,1.6,0.53,0.08,0.61,0.17,0.25,Matches
207,Kamil Grosicki\81d8091f,FW,pl Poland,30,1988,3,2,214,2.4,0,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,0.4,0.4,0.8,1.1,0.15,0.33,0.48,0.15,0.48,Matches
208,Andrés Guardado\ef322658,MF,mx Mexico,31,1986,4,4,303,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.16,0.03,0.19,0.16,0.19,Matches
209,Gonçalo Guedes\e6bc67d7,FWMF,pt Portugal,21,1996,4,3,243,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,0.4,0.4,0.0,0.4,0.14,0.01,0.15,0.14,0.15,Matches
210,Raphaël Guerreiro\048a1cbc,DF,pt Portugal,24,1993,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.3,0.4,0.02,0.07,0.09,0.02,0.09,Matches
211,Paolo Guerrero\ae6657a1,FW,pe Peru,34,1984,3,2,209,2.3,1,1,1,0,0,1,0,0.43,0.43,0.86,0.43,0.86,0.7,0.7,0.1,0.8,0.32,0.03,0.34,0.32,0.34,Matches
212,John Guidetti\99bebd12,FW,se Sweden,26,1992,2,0,39,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.04,0.32,0.36,0.04,0.36,Matches
213,İlkay Gündoğan\819b3158,MFDF,de Germany,27,1990,1,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.04,0.12,0.16,0.04,0.16,Matches
214,Aron Gunnarsson\e2533c20,MF,is Iceland,29,1989,3,3,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.05,0.11,0.06,0.11,Matches
215,David Guzmán\bb62beaa,MF,cr Costa Rica,28,1990,3,3,243,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.05,0.05,0.01,0.05,Matches
216,Albert Guðmundsson\b79858d5,FW,is Iceland,20,1997,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
217,Essam El-Hadary\79307650,GK,eg Egypt,45,1973,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
218,Oussama Haddadi\ec400194,DF,tn Tunisia,26,1992,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,1.1,1.1,0.00,1.11,1.11,0.00,1.11,Matches
219,Ehsan Hajsafi\b060e3b8,DF,ir Iran,28,1990,3,3,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
220,Achraf Hakimi\e42d61c7,DF,ma Morocco,19,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.06,0.07,0.01,0.07,Matches
221,Emil Hallfreðsson\86015b20,MF,is Iceland,33,1984,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
222,Tarek Hamed\48767945,MF,eg Egypt,29,1988,3,3,229,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
223,Genki Haraguchi\f24ea523,FWMF,jp Japan,27,1991,3,3,244,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,0.3,0.3,0.1,0.5,0.12,0.05,0.17,0.12,0.17,Matches
224,Amine Harit\e7d59f4f,FW,ma Morocco,20,1997,1,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.19,0.10,0.29,0.19,0.29,Matches
225,Makoto Hasebe\9ab16552,MF,jp Japan,34,1984,4,3,279,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
