,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
160,Abdelmoumene Djabou\1618abe3,MF,dz Algeria,27,1987,3,2,169,1.9,2,1,2,0,0,0,0,1.07,0.53,1.60,1.07,1.60,Matches
161,Constant Djakpa\b3ed818e,DF,ci Côte d'Ivoire,27,1986,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
162,Cédric Djeugoué\25f39524,DFMF,cm Cameroon,21,1992,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
163,Johan Djourou\b8673e18,DF,ch Switzerland,27,1987,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
164,Alexander Domínguez\84c22fa0,GK,ec Ecuador,27,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
165,Ji Dong-won\7d841904,FWMF,kr Korea Republic,23,1991,2,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Giovani dos Santos\7dba6233,FWMF,mx Mexico,25,1989,4,4,294,3.3,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
167,Julian Draxler\1a992676,FWMF,de Germany,20,1993,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
168,Josip Drmić\15ea94de,FW,ch Switzerland,21,1992,4,3,249,2.8,0,2,0,0,0,0,0,0.00,0.72,0.72,0.00,0.72,Matches
169,Didier Drogba\945dea33,FW,ci Côte d'Ivoire,36,1978,3,1,137,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Óscar Duarte\aa0ac32d,DF,cr Costa Rica,25,1989,4,4,335,3.7,1,0,1,0,0,2,1,0.27,0.00,0.27,0.27,0.27,Matches
171,Alan Dzagoev\4c45cdc2,MF,ru Russia,23,1990,3,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Edin Džeko\3bb7f478,FW,ba Bosnia and Herzegovina,28,1986,3,3,263,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches
173,Blerim Džemaili\756959aa,MF,ch Switzerland,28,1986,3,0,57,0.6,1,0,1,0,0,0,0,1.58,0.00,1.58,1.58,1.58,Matches
174,Éder\f0fc9d0e,FW,pt Portugal,26,1987,3,1,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Emmanuel Emenike\df6bcd09,FW,ng Nigeria,27,1987,4,4,360,4.0,0,2,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
176,Yasuhito Endō\5b5420e2,MF,jp Japan,34,1980,2,0,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
177,Eyong Enoh\d3dcab48,MF,cm Cameroon,28,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Vincent Enyeama\62156b6a,GK,ng Nigeria,31,1982,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Frickson Erazo\4ec7211b,DF,ec Ecuador,26,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
180,Roger Espinoza\60b7c195,DFMF,hn Honduras,27,1986,3,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
181,Michael Essien\d6577282,DFMF,gh Ghana,31,1982,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
182,Samuel Eto'o\06420c93,FW,cm Cameroon,33,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
183,Patrice Evra\51a3caf1,DF,fr France,33,1981,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
184,Marco Fabián\e665a2db,FWMF,mx Mexico,24,1989,3,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
185,Cesc Fàbregas\33508c78,FWMF,es Spain,27,1987,2,0,36,0.4,0,1,0,0,0,0,0,0.00,2.50,2.50,0.00,2.50,Matches
186,Viktor Fayzulin\5d5c8506,MF,ru Russia,28,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
187,Sofiane Feghouli\691f64f5,FWMF,dz Algeria,24,1989,4,4,390,4.3,1,2,0,1,1,0,0,0.23,0.46,0.69,0.00,0.46,Matches
188,Marouane Fellaini\87575fd9,MF,be Belgium,26,1987,5,4,416,4.6,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches
189,Leroy Fer\3cefa66a,MF,nl Netherlands,24,1990,1,0,16,0.2,1,0,1,0,0,0,0,5.63,0.00,5.63,5.63,5.63,Matches
190,Gelson Fernandes\8e58987d,MF,ch Switzerland,27,1986,1,0,55,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Federico Fernández\f25b010f,DF,ar Argentina,25,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
192,Fernandinho\101da2b5,DFMF,br Brazil,29,1985,5,3,296,3.3,1,0,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches
193,Giannis Fetfatzidis\d04d34c4,MF,gr Greece,23,1990,2,1,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
194,Maynor Figueroa\d8524b21,DF,hn Honduras,31,1983,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
195,Diego Forlán\d87d0dfc,FWMF,uy Uruguay,35,1979,2,2,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
196,Ben Foster\d0b3ceb9,GK,eng England,31,1983,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
197,Ivan Franjic\80b94fb9,DFFW,au Australia,26,1987,1,1,48,0.5,0,1,0,0,0,0,0,0.00,1.87,1.87,0.00,1.87,Matches
198,Fred\acaeba74,FW,br Brazil,30,1983,6,6,471,5.2,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
199,Jorge Fucile\30ad0dc7,DF,uy Uruguay,29,1984,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Reuben Gabriel\bc5ed7cb,MF,ng Nigeria,23,1990,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
201,Fernando Gago\e86337bd,MF,ar Argentina,28,1986,6,3,375,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
202,Cristian Gamboa\f27680d9,DFMF,cr Costa Rica,24,1989,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
203,Ezequiel Garay\ac3fb1be,DF,ar Argentina,27,1986,7,7,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
204,Boniek García\889ce425,DFMF,hn Honduras,29,1984,3,2,202,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
205,Walter Gargano\f7cb73ec,MF,uy Uruguay,29,1984,1,1,59,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
206,Luis Garrido\b050ea25,FWMF,hn Honduras,23,1990,2,2,160,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
207,Theofanis Gekas\244bc211,FW,gr Greece,34,1980,4,1,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Steven Gerrard\caeb5442,MF,eng England,34,1980,3,2,198,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Gervinho\e468c053,FWMF,ci Côte d'Ivoire,27,1987,3,3,262,2.9,2,1,2,0,0,0,0,0.69,0.34,1.03,0.69,1.03,Matches
210,Nabil Ghilas\cee627f6,FWMF,dz Algeria,24,1990,3,0,39,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
211,Reza Ghoochannejad\b1f31e45,FWMF,ir Iran,26,1987,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
212,Faouzi Ghoulam\c5adc293,DF,dz Algeria,23,1991,2,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
213,Olivier Giroud\16ceb862,FW,fr France,27,1986,5,2,166,1.8,1,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,Matches
214,Denis Glushakov\c67b8590,MF,ru Russia,27,1987,3,3,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
215,Panagiotis Glykos\470eb063,GK,gr Greece,27,1986,1,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Diego Godín\fc4f85b1,DF,uy Uruguay,28,1986,4,4,360,4.0,1,0,1,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches
217,Álvaro González\873b892d,MF,uy Uruguay,29,1984,4,3,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
218,Giancarlo González\117beb8f,DF,cr Costa Rica,26,1988,5,5,510,5.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
219,Omar Gonzalez\0d2fe665,DF,us United States,25,1988,3,2,211,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
220,Mario Götze\9efa1d25,FWMF,de Germany,22,1992,6,3,259,2.9,2,0,2,0,0,0,0,0.69,0.00,0.69,0.69,0.69,Matches
221,Max Gradel\c5a500ca,FWMF,ci Côte d'Ivoire,26,1987,1,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
222,Julian Green\ad1d6fa4,FWMF,us United States,19,1995,1,0,16,0.2,1,0,1,0,0,0,0,5.63,0.00,5.63,5.63,5.63,Matches
223,Antoine Griezmann\df69b544,FWMF,fr France,23,1991,5,3,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
224,Carlos Gruezo\f2dd9a21,MF,ec Ecuador,19,1995,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
225,Jorge Guagua\29f79bb0,DF,ec Ecuador,32,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
226,Andrés Guardado\ef322658,DFFW,mx Mexico,27,1986,4,4,331,3.7,1,0,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
227,Fredy Guarín\c36ef7e9,MF,co Colombia,27,1986,3,2,190,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Luiz Gustavo\82671804,DFMF,br Brazil,26,1987,6,6,525,5.8,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
229,Felipe Gutiérrez\80ae314a,MF,cl Chile,23,1990,4,1,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Teófilo Gutiérrez\165afe13,FWMF,co Colombia,29,1985,4,4,301,3.3,1,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,Matches
231,Jonathan de Guzmán\1bcca8b8,MF,nl Netherlands,26,1987,3,3,228,2.5,0,1,0,0,0,2,0,0.00,0.39,0.39,0.00,0.39,Matches
232,Asamoah Gyan\7f7bbbc2,FW,gh Ghana,28,1985,3,3,270,3.0,2,1,2,0,0,0,0,0.67,0.33,1.00,0.67,1.00,Matches
233,Anel Hadžić\e556a911,DFMF,ba Bosnia and Herzegovina,24,1989,1,1,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
234,Alireza Haghighi\a6c2a6ac,GK,ir Iran,26,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
235,Reza Haghighi\c1c4bef8,MF,ir Iran,25,1989,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Izet Hajrović\55537f53,MF,ba Bosnia and Herzegovina,22,1991,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Ehsan Hajsafi\b060e3b8,DFMF,ir Iran,24,1990,3,3,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Rafik Halliche\ecb2f4e3,DF,dz Algeria,27,1986,4,4,366,4.1,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
239,Ben Halloran\64c588cd,FWMF,au Australia,22,1992,3,0,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Joe Hart\cb4f24c6,GK,eng England,27,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
241,Makoto Hasebe\9ab16552,DFMF,jp Japan,30,1984,3,3,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
242,Eden Hazard\a39bb753,FWMF,be Belgium,23,1991,5,4,367,4.1,0,2,0,0,0,1,0,0.00,0.49,0.49,0.00,0.49,Matches
243,Jordan Henderson\935e6b8f,MF,eng England,23,1990,2,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
244,Henrique\429163de,DF,br Brazil,27,1986,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
245,Abel Hernández\a36da810,FW,uy Uruguay,23,1990,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
246,Javier Hernández\189cee7b,FW,mx Mexico,26,1988,4,0,79,0.9,1,0,1,0,0,0,0,1.14,0.00,1.14,1.14,1.14,Matches
247,Hernanes\cfc2ee72,MF,br Brazil,29,1985,3,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
248,Héctor Herrera\a8542814,MF,mx Mexico,24,1990,4,4,344,3.8,0,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
249,Son Heung-min\92e7e919,FWMF,kr Korea Republic,21,1992,3,3,245,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches
250,Khosro Heydari\2b827052,DFMF,ir Iran,30,1983,3,1,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
251,Gonzalo Higuaín\8a08491a,FWMF,ar Argentina,26,1987,7,6,568,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
252,José Holebas\12aa7661,DFMF,gr Greece,29,1984,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
253,Keisuke Honda\5cfc82a1,FWMF,jp Japan,28,1986,3,3,270,3.0,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches
254,Amir Hossein Sadeghi\705fcf79,DF,ir Iran,32,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
255,Jalal Hosseini\f2d31a1b,DF,ir Iran,32,1982,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Tim Howard\c444465e,GK,us United States,35,1979,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Benedikt Höwedes\d5c04323,DF,de Germany,26,1988,7,7,690,7.7,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
258,Hulk\33a1f72e,FWMF,br Brazil,27,1986,6,5,394,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Mats Hummels\05d548d8,DF,de Germany,25,1988,6,6,507,5.6,2,0,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches
260,Klaas-Jan Huntelaar\5042e5c2,FW,nl Netherlands,30,1983,3,0,55,0.6,1,1,0,1,1,2,0,1.64,1.64,3.27,0.00,1.64,Matches
261,Víctor Ibarbo\552d1e41,FWMF,co Colombia,24,1990,3,3,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
262,Renato Ibarra\f2f06df9,FWMF,ec Ecuador,23,1991,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
263,Vedad Ibišević\c3fd9887,FW,ba Bosnia and Herzegovina,29,1984,3,1,146,1.6,1,0,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
264,Sergei Ignashevich\04f2ed4d,DF,ru Russia,34,1979,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
265,Ciro Immobile\4431aed2,FW,it Italy,24,1990,2,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
266,Andrés Iniesta\cfd65a29,MF,es Spain,30,1984,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
267,Gökhan Inler\3200c583,MF,ch Switzerland,29,1984,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
268,Lorenzo Insigne\2f557579,FWMF,it Italy,23,1991,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
269,Mauricio Isla\de4517dd,DFMF,cl Chile,26,1988,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
270,Charles Itandje\a73f9653,GK,cm Cameroon,31,1982,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
271,Emilio Izaguirre\56923ba9,DF,hn Honduras,28,1986,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
272,Koo Ja-cheol\3c05e082,MF,kr Korea Republic,25,1989,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
273,Phil Jagielka\3233eefd,DFMF,eng England,31,1982,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
274,Alireza Jahanbakhsh\08452314,FWMF,ir Iran,20,1993,3,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
275,Daryl Janmaat\45da6694,DF,nl Netherlands,24,1989,5,3,366,4.1,0,2,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches
276,Adnan Januzaj\4737cebe,FWMF,be Belgium,19,1995,1,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
277,Gonzalo Jara\9b1b4782,DFMF,cl Chile,28,1985,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
278,Francisco Javier Rodríguez\f913875f,DF,mx Mexico,32,1981,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
279,Mile Jedinak\22fd2214,MF,au Australia,29,1984,3,3,270,3.0,1,0,0,1,1,2,0,0.33,0.00,0.33,0.00,0.00,Matches
280,Nikica Jelavić\1a29f38c,FW,hr Croatia,28,1985,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
281,Hong Jeong-ho\f2fb78a6,DF,kr Korea Republic,24,1989,3,3,251,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Raúl Jiménez\b561db50,FW,mx Mexico,23,1991,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
283,Jô\e47d11f8,FW,br Brazil,27,1987,3,1,168,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Aron Jóhannsson\c0dc9fc7,FWMF,us United States,23,1990,1,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
285,Fabian Johnson\76e5da9d,DFMF,us United States,26,1987,4,4,301,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
286,Glen Johnson\8cceca90,DF,eng England,29,1984,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
287,Jermaine Jones\0c577541,MF,us United States,32,1981,4,4,390,4.3,1,1,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
288,Phil Jones\def899bd,DFMF,eng England,22,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
289,Nigel de Jong\a0e209bc,MF,nl Netherlands,29,1984,5,5,339,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
290,José Juan Vázquez\35fd6633,MF,mx Mexico,26,1988,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
291,Juanfran\cfd8d664,DFMF,es Spain,29,1985,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
292,Shinji Kagawa\5afafbfe,FWMF,jp Japan,25,1989,3,2,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
293,Yoichiro Kakitani\2c01572f,FWMF,jp Japan,24,1990,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
294,Salomon Kalou\2042d931,FWMF,ci Côte d'Ivoire,28,1985,3,2,204,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
295,Maksim Kanunnikov\f2fa26f4,FWMF,ru Russia,22,1991,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
296,Giorgos Karagounis\ed2192d0,MF,gr Greece,37,1977,4,2,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
297,Orestis Karnezis\85b011bb,GK,gr Greece,28,1985,4,4,323,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
298,Kostas Katsouranis\46ee1669,DFMF,gr Greece,34,1979,3,2,170,1.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
299,Eiji Kawashima\a4527d33,GK,jp Japan,31,1983,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
300,Aleksandr Kerzhakov\e8cb6c66,FW,ru Russia,31,1982,3,1,101,1.1,1,0,1,0,0,0,0,0.89,0.00,0.89,0.89,0.89,Matches
301,Lee Keun-ho\014d6c6d,FWMF,kr Korea Republic,29,1985,3,0,107,1.2,1,1,1,0,0,0,0,0.84,0.84,1.68,0.84,1.68,Matches
302,Sami Khedira\38ac43d3,MF,de Germany,27,1987,5,4,374,4.2,1,1,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches
303,Hiroshi Kiyotake\0dba1f3e,FWMF,jp Japan,24,1989,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
304,Miroslav Klose\5e36a0dd,FW,de Germany,36,1978,5,3,279,3.1,2,0,2,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches
305,Koke\55126f3b,MF,es Spain,22,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
306,Aleksandr Kokorin\fec5accc,FWMF,ru Russia,23,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
307,Sead Kolašinac\3935e52e,DFMF,ba Bosnia and Herzegovina,20,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
308,Dmitri Kombarov\6d3f2898,DFMF,ru Russia,27,1987,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
309,Vincent Kompany\d2bff301,DF,be Belgium,28,1986,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
310,Panagiotis Kone\27d34558,MF,gr Greece,26,1987,3,3,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
311,Terence Kongolo\1f9a3a04,DF,nl Netherlands,20,1994,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
312,Yasuyuki Konno\b2f008c5,DFMF,jp Japan,31,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
313,Han Kook-young\ab1ada74,MF,kr Korea Republic,24,1990,3,3,212,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
314,Laurent Koscielny\f5efb153,DF,fr France,28,1985,4,2,224,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
315,Mateo Kovačić\79c0821a,MF,hr Croatia,20,1994,3,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Christoph Kramer\496aeede,MF,de Germany,23,1991,3,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
317,Toni Kroos\6ce1f46f,MF,de Germany,24,1990,7,7,689,7.7,2,3,2,0,0,0,0,0.26,0.39,0.65,0.26,0.65,Matches
318,Tim Krul\f23f9d20,GK,nl Netherlands,26,1988,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
319,Dirk Kuyt\cd53ecf4,DFFW,nl Netherlands,33,1980,5,5,508,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
320,Mehdi Lacen\a3a306f6,MF,dz Algeria,30,1984,3,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
321,Philipp Lahm\de491a33,DFMF,de Germany,30,1983,7,7,690,7.7,0,2,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
322,Adam Lallana\99813635,FWMF,eng England,26,1988,3,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Rickie Lambert\495de82c,FW,eng England,32,1982,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
324,Frank Lampard\268df6b1,MF,eng England,35,1978,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
325,Michael Lang\864db10a,DFMF,ch Switzerland,23,1991,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
326,Adam Larsen Kwarasey\7c6eed78,GK,gh Ghana,26,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
327,Ezequiel Lavezzi\6d6456d7,FWMF,ar Argentina,29,1985,6,4,354,3.9,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
328,Miguel Layún\ad6295d4,DFMF,mx Mexico,25,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
